age_CE,ref,lon,lat,varve_thick,lake_name
1987,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.127,Linnévatnet
1986,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.773,Linnévatnet
1985,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,4.763,Linnévatnet
1984,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.36,Linnévatnet
1983,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.588,Linnévatnet
1982,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.561,Linnévatnet
1981,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.497,Linnévatnet
1980,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.572,Linnévatnet
1979,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.524,Linnévatnet
1978,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.577,Linnévatnet
1977,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.688,Linnévatnet
1976,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.556,Linnévatnet
1975,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.228,Linnévatnet
1974,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.37,Linnévatnet
1973,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.27,Linnévatnet
1972,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.984,Linnévatnet
1971,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.535,Linnévatnet
1970,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.598,Linnévatnet
1969,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.159,Linnévatnet
1968,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.598,Linnévatnet
1967,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.392,Linnévatnet
1966,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.693,Linnévatnet
1965,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.154,Linnévatnet
1964,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.99,Linnévatnet
1963,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.614,Linnévatnet
1962,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.714,Linnévatnet
1961,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.445,Linnévatnet
1960,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.296,Linnévatnet
1959,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.455,Linnévatnet
1958,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.122,Linnévatnet
1957,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.387,Linnévatnet
1956,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.593,Linnévatnet
1955,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.878,Linnévatnet
1954,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.931,Linnévatnet
1953,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.18,Linnévatnet
1952,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.662,Linnévatnet
1951,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.138,Linnévatnet
1950,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.656,Linnévatnet
1949,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.36,Linnévatnet
1948,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.191,Linnévatnet
1947,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.429,Linnévatnet
1946,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.021,Linnévatnet
1945,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.656,Linnévatnet
1944,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.027,Linnévatnet
